id;c_name;ticker;sector;industry;no_yrs;ranking;price;yield;dividend;payouts;annualized
252;EPR Properties;EPR;Real Estate;Equity Real Estate Investment Trusts (REITs);10;412;59.24;7.75;0.3825;12;4.59
253;Equinix Inc.;EQIX;Real Estate;Equity Real Estate Investment Trusts (REITs);6;809;572.80;1.86;2.6600;4;10.64
254;EQT Midstream Partners LP;EQM;Energy;Oil. Gas & Consumable Fuels;8;579;17.36;26.73;1.1600;4;4.64
255;Erie Indemnity Company;ERIE;Financials;Insurance;30;93;142.92;2.70;0.9650;4;3.86
256;Eversource Energy;ES;Utilities;Electric Utilities;22;160;86.46;2.63;0.5675;4;2.27
257;Essex Property Trust;ESS;Real Estate;Equity Real Estate Investment Trusts (REITs);26;131;283.36;2.93;2.0775;4;8.31
258;Eaton Corp. plc;ETN;Industrials;Electrical Equipment;11;335;90.72;3.22;0.7300;4;2.92
259;Entergy Corporation;ETR;Utilities;Electric Utilities;5;851;116.91;3.18;0.9300;4;3.72
260;Eaton Vance Corp.;EV;Financials;Capital Markets;39;67;41.26;3.64;0.3750;4;1.50
261;Enviva Partners  LP;EVA;Energy;Oil. Gas & Consumable Fuels;6;803;37.87;7.13;0.6750;4;2.70
262;Evans Bancorp Inc.;EVBN;Financials;Banks;9;548;39.27;2.95;0.5800;2;1.16
263;Evercore Partners Inc.;EVR;Financials;Capital Markets;13;285;66.62;3.48;0.5800;4;2.32
264;Evergy Inc;EVRG;Utilities;Electric Utilities;15;269;65.35;3.09;0.5050;4;2.02
265;Exelon Corporation;EXC;Utilities;Electric Utilities;5;864;43.11;3.55;0.3825;4;1.53
266;Expeditors International;EXPD;Industrials;Air Freight & Logistics;25;135;70.42;1.42;0.5000;2;1.00
267;Expedia Inc.;EXPE;Consumer Discretionary;Internet & Direct Marketing Retail;8;584;98.62;1.38;0.3400;4;1.36
268;Exponent Inc.;EXPO;Industrials;Professional Services;8;642;73.65;1.03;0.1900;4;0.76
269;Extra Space Storage Inc.;EXR;Real Estate;Equity Real Estate Investment Trusts (REITs);10;356;100.36;3.59;0.9000;4;3.60
270;Exchange Bank (Santa Rosa CA);EXSR;Financials;Banks;8;638;159.00;3.02;1.2000;4;4.80
271;First American Financial Corp.;FAF;Financials;Insurance;11;328;57.10;3.08;0.4400;4;1.76
272;Fastenal Company;FAST;Industrials;Trading Companies & Distributors;21;165;34.22;2.92;0.2500;4;1.00
273;Fortune Brands Home & Security;FBHS;Industrials;Building Products;8;636;61.75;1.55;0.2400;4;0.96
274;First Business Financial Services Inc.;FBIZ;Financials;Banks;8;620;24.00;2.75;0.1650;4;0.66
275;Farmers Bankshares Inc.;FBVA;Financials;Banks;8;592;17.00;2.82;0.1200;4;0.48
276;First Community Bancshares Inc.;FCBC;Financials;Banks;8;566;26.16;3.82;0.2500;4;1.00
277;First Community Corp.;FCCO;Financials;Banks;8;621;19.41;2.47;0.1200;4;0.48
278;1st Constitution Bancorp;FCCY;Financials;Banks;5;861;18.32;1.97;0.0900;4;0.36
279;Fidelity D & D Bancorp. Inc.;FDBC;Financials;Banks;5;852;49.30;2.27;0.2800;4;1.12
280;First Defiance Financial Corp.;FDEF;Financials;Thrifts & Mortgage Finance;9;513;23.92;3.68;0.2200;4;0.88
281;Factset Research System Inc.;FDS;Financials;Capital Markets;21;162;265.99;1.08;0.7200;4;2.88
282;FedEx Corp.;FDX;Industrials;Air Freight & Logistics;18;181;141.17;1.84;0.6500;4;2.60
283;Franklin Electric Co.;FELE;Industrials;Machinery;28;103;51.69;1.20;0.1550;4;0.62
284;FBL Financial Group Inc.;FFG;Financials;Insurance;9;452;47.76;4.02;0.4800;4;1.92
285;Flushing Financial Corp.;FFIC;Financials;Banks;6;746;18.16;4.63;0.2100;4;0.84
286;First Financial Bankshares Inc.;FFIN;Financials;Banks;9;484;28.74;1.67;0.1200;4;0.48
287;First Farmers Financial Corp.;FFMR;Financials;Banks;13;290;47.50;2.69;0.3200;4;1.28
288;First Horizon Narional Corp.;FHN;Financials;Banks;9;546;13.33;4.50;0.1500;4;0.60
289;First Interstate Bancsystem Inc.;FIBK;Financials;Banks;11;323;34.06;3.99;0.3400;4;1.36
290;Financial Institutions Inc.;FISI;Financials;Banks;9;459;26.91;3.72;0.25;4;1.00
291;Fifth Third Bancorp;FITB;Financials;Banks;10;428;24.4;4.43;0.27;4;1.08
292;Comfort Systems USA Inc.;FIX;Industrials;Construction & Engineering;8;644;42.22;0.99;0.1050;4;0.42
293;Foot Locker Inc.;FL;Consumer Discretionary;Specialty Retail;10;433;36.25;4.41;0.4000;4;1.60
294;First of Long Island Corp.;FLIC;Financials;Banks;24;144;20.71;3.48;0.1800;4;0.72
295;Flir Systems Inc.;FLIR;Information Technology;Electronic Equipment. Instruments & Components;9;451;42.47;1.60;0.1700;4;0.68
296;Flowers Foods;FLO;Consumer Staples;Food Products;18;182;21.53;3.53;0.1900;4;0.76
297;Farmers and Merchants Bancorp;FMAO;Financials;Banks;16;246;26.60;2.41;0.1600;4;0.64
298;First Mid-Illinois Bancshares Inc.;FMBH;Financials;Banks;9;518;28.17;2.84;0.4000;2;0.80
299;First Midwest Bancorp;FMBI;Financials;Banks;7;676;18.15;3.09;0.1400;4;0.56
300;F&M Bank Corp.;FMBM;Financials;Banks;8;598;27.24;3.82;0.2600;4;1.04
301;Farmers & Merchants Bancorp;FMCB;Financials;Banks;57;14;774.00;1.85;7.1500;2;14.30
302;Fidelity National Financial Inc.;FNF;Financials;Insurance;8;608;38.76;3.41;0.3300;4;1.32
303;First Bancorp Inc.;FNLC;Financials;Banks;6;764;25.5;4.71;0.3000;4;1.20
304;Franco-Nevada Corp.;FNV;Materials;Metals & Mining;12;299;107.50;0.93;0.2500;4;1.00
305;First Industrial Realty Trust Inc.;FR;Real Estate;Equity Real Estate Investment Trusts (REITs);8;651;38.50;2.60;0.2500;4;1.00
306;Franklin Financial Services Inc.;FRAF;Financials;Banks;5;833;31.02;3.87;0.3000;4;1.20
307;First Republic Bank;FRC;Financials;Banks;8;562;100.57;0.76;0.1900;4;0.76
308;First Merchants Corp.;FRME;Financials;Banks;8;571;34.98;2.97;0.2600;4;1.04
309;Federal Realty Inv. Trust;FRT;Real Estate;Equity Real Estate Investment Trusts (REITs);52;24;116.34;3.61;1.0500;4;4.20
310;FS Bancorp Inc.;FSBW;Financials;Thrifts & Mortgage Finance;8;625;47.79;1.76;0.2100;4;0.84
311;First Savings Financial Group Inc.;FSFG;Financials;Banks;6;747;62.45;1.02;0.1600;4;0.64
312;FirstService Corp.;FSV;Real Estate;Real Estate Management & Development;6;818;98.85;0.67;0.1650;4;0.66
313;H.B. Fuller Company;FUL;Materials;Chemicals;50;27;39.23;1.63;0.1600;4;0.64
314;Fulton Financial Corp.;FULT;Financials;Banks;5;830;14.45;3.60;0.1300;4;0.52
315;Cedar Fair LP;FUN;Consumer Discretionary;Hotels. Restaurants & Leisure;9;519;45.69;8.19;0.9350;4;3.74
316;First National Corp.;FXNC;Financials;Banks;7;721;20.10;2.19;0.1100;4;0.44
317;German American Bancorp;GABC;Financials;Banks;8;626;29.85;2.55;0.1900;4;0.76
318;Gladstone Investment Corp.;GAIN;Financials;Capital Markets;9;543;11.45;7.34;0.0700;12;0.84
319;GATX Corp.;GATX;Industrials;Trading Companies & Distributors;10;422;71.53;2.68;0.4800;4;1.92
320;Glacier Bancorp Inc.;GBCI;Financials;Banks;8;594;37.29;3.11;0.2900;4;1.16
321;Greenbrier Companies Inc.;GBX;Industrials;Machinery;7;711;24.23;4.46;0.2700;4;1.08
322;Greene County Bancorp. Inc.;GCBC;Financials;Thrifts & Mortgage Finance;6;768;27.05;1.63;0.1100;4;0.44
323;General Dynamics;GD;Industrials;Aerospace & Defense;28;96;159.69;2.55;1.0200;4;4.08
324;GEO Group Inc.;GEO;Real Estate;Equity Real Estate Investment Trusts (REITs);8;559;14.64;13.11;0.4800;4;1.92
325;Guaranty Federal Bancshares;GFED;Financials;Thrifts & Mortgage Finance;7;702;23.58;2.54;0.1500;4;0.60
326;Griffon Corp.;GFF;Industrials;Building Products;9;520;17.40;1.72;0.0750;4;0.30
327;Graco Inc.;GGG;Industrials;Machinery;23;151;49.32;1.42;0.1750;4;0.70
328;Gildan Activewear Inc.;GIL;Consumer Discretionary;Textiles. Apparel & Luxury Goods;10;427;24.22;2.54;0.1540;4;0.62
329;Gilead Sciences Inc.;GILD;Health Care;Biotechnology;6;813;69.36;3.92;0.6800;4;2.72
330;Globe Life Inc;GL;Financials;Insurance;14;275;92.66;0.74;0.1725;4;0.69
331;Gaming and Leisure Properties;GLPI;Real Estate;Equity Real Estate Investment Trusts (REITs);6;788;44.67;6.27;0.7000;4;2.80
332;Corning Inc.;GLW;Information Technology;Electronic Equipment. Instruments & Components;10;423;23.86;3.69;0.2200;4;0.88
333;Gentex Corp.;GNTX;Consumer Discretionary;Auto Components;9;465;26.70;1.72;0.1150;4;0.46
334;Genuine Parts Co.;GPC;Consumer Discretionary;Distributors;64;4;87.24;3.62;0.7900;4;3.16
335;Group 1 Automotive Inc.;GPI;Consumer Discretionary;Specialty Retail;11;329;85.23;1.41;0.3000;4;1.20
336;Green Plains Partners LP;GPP;Energy;Oil. Gas & Consumable Fuels;5;819;13.66;13.91;0.4750;4;1.90
337;W. R. Grace & Co.;GRA;Materials;Chemicals;5;866;56.56;2.12;0.3000;4;1.20
338;Gorman-Rupp Company;GRC;Industrials;Machinery;47;44;31.99;1.81;0.1450;4;0.58
339;Goldman Sachs Group Inc.;GS;Financials;Capital Markets;9;501;200.77;2.49;1.2500;4;5.00
340;Great Southern Bancorp Inc.;GSBC;Financials;Banks;6;776;51.31;2.65;0.3400;4;1.36
341;Goodyear Tire & Rubber Company;GT;Consumer Discretionary;Auto Components;7;653;9.69;6.60;0.1600;4;0.64
342;Getty Realty Corp.;GTY;Real Estate;Equity Real Estate Investment Trusts (REITs);8;612;28.34;5.22;0.3700;4;1.48
343;Great Western Bancorp Inc.;GWB;Financials;Banks;5;834;26.87;4.47;0.3000;4;1.20
344;W.W. Grainger Inc.;GWW;Industrials;Trading Companies & Distributors;48;33;277.54;2.08;1.4400;4;5.76
345;Hasbro Inc.;HAS;Consumer Discretionary;Leisure Products;16;232;77.25;3.52;0.6800;4;2.72
346;Huntington Bancshares Inc.;HBAN;Financials;Banks;9;503;12.27;4.89;0.1500;4;0.60
347;Home Bancorp Inc.;HBCP;Financials;Thrifts & Mortgage Finance;6;780;33.07;2.66;0.2200;4;0.88
348;Horizon Bancorp;HBNC;Financials;Banks;9;489;15.02;3.20;0.1200;4;0.48
349;The Hackett Group Inc.;HCKT;Information Technology;IT Services;6;761;15.4;2.34;0.1800;2;0.36
350;Healthcare Services Group Inc.;HCSG;Industrials;Commercial Services & Supplies;18;199;27.54;2.92;0.2013;4;0.81
351;Home Depot Inc.;HD;Consumer Discretionary;Specialty Retail;11;334;217.84;2.75;1.5000;4;6.00
352;HDFC Bank Limited;HDB;Financials;Banks;18;185;54.85;1.18;0.6459;1;0.65
353;HEICO Corp.;HEI;Industrials;Aerospace & Defense;13;292;107.85;0.15;0.0800;2;0.16
354;Holly Energy Partners LP;HEP;Energy;Oil. Gas & Consumable Fuels;15;260;20.74;12.97;0.6725;4;2.69
355;Home Federal Bancorp Inc. of Louisiana;HFBL;Financials;Thrifts & Mortgage Finance;6;765;34.02;1.88;0.1600;4;0.64
356;Heritage Financial Corp.;HFWA;Financials;Banks;10;401;23.19;3.45;0.2000;4;0.80
357;Hillenbrand Inc.;HI;Industrials;Machinery;13;289;23.40;3.63;0.2125;4;0.85
358;Hingham Institution for Savings;HIFS;Financials;Thrifts & Mortgage Finance;13;291;182.96;0.90;0.4100;4;1.64
359;Hartford Financial Services Group Inc.;HIG;Financials;Insurance;10;426;49.95;2.60;0.3250;4;1.30
360;Huntington Ingalls Industries Inc.;HII;Industrials;Aerospace & Defense;8;603;205.53;2.00;1.0300;4;4.12
361;Heartland BanCorp;HLAN;Financials;Banks;8;649;89.60;2.54;0.5700;4;2.28
362;Houlihan Lokey. Inc.;HLI;Financials;Capital Markets;5;836;51.22;2.42;0.3100;4;1.24
363;Hoegh LNG Partners LP;HMLP;Energy;Oil. Gas & Consumable Fuels;6;733;12.50;14.08;0.4400;4;1.76
364;Horace Mann Educators Corp.;HMN;Financials;Insurance;10;344;38.93;2.95;0.2875;4;1.15
365;HNI Corp.;HNI;Industrials;Commercial Services & Supplies;9;475;32.83;3.72;0.3050;4;1.22
366;Hennessy Advisors Inc.;HNNA;Financials;Capital Markets;6;770;10.15;5.42;0.1375;4;0.55
367;Harley-Davidson Inc.;HOG;Consumer Discretionary;Automobiles;10;418;30.47;4.99;0.3800;4;1.52
368;Home Bancshares Inc.;HOMB;Financials;Banks;9;476;16.76;3.10;0.1300;4;0.52
369;Honeywell International Inc.;HON;Industrials;Industrial Conglomerates;9;515;162.17;2.22;0.9000;4;3.60
370;Honat Bancorp Inc.;HONT;Financials;Banks;15;268;115.00;1.60;0.4600;4;1.84
371;Hope Bancorp Inc.;HOPE;Financials;Banks;8;555;12.21;4.59;0.1400;4;0.56
372;Helmerich & Payne Inc.;HP;Energy;Energy Equipment & Services;47;41;36.89;7.70;0.7100;4;2.84
373;Hewlett Packard Enterprise Company;HPE;Information Technology;Technology Hardware. Storage & Peripherals;5;856;12.79;3.75;0.1200;4;0.48
374;HP Inc.;HPQ;Information Technology;Technology Hardware. Storage & Peripherals;10;387;20.79;3.39;0.1762;4;0.70
375;Hill-Rom Holdings Inc.;HRC;Health Care;Health Care Equipment & Supplies;10;424;96.05;0.92;0.2200;4;0.88
376;Hershey Company;HSY;Consumer Staples;Food Products;10;370;143.99;2.15;0.7730;4;3.09
377;Healthcare Trust of America Inc.;HTA;Real Estate;Equity Real Estate Investment Trusts (REITs);8;588;31.14;4.05;0.3150;4;1.26
378;Heritage Commerce Corp.;HTBK;Financials;Banks;8;624;10.26;5.07;0.1300;4;0.52
379;Hilltop Holdings Inc.;HTH;Financials;Banks;5;862;20.83;1.73;0.0900;4;0.36
380;Hubbell Inc.;HUBB;Industrials;Electrical Equipment;12;304;133.24;2.73;0.9100;4;3.64
381;Humana Inc.;HUM;Health Care;Health Care Providers & Services;10;432;319.68;0.78;0.6250;4;2.50
382;Hurco Companies Inc.;HURC;Industrials;Machinery;7;660;28.18;1.70;0.1200;4;0.48
383;Haverty Furniture Companies Inc.;HVT;Consumer Discretionary;Specialty Retail;10;365;16.82;4.76;0.2000;4;0.80
384;Haverty Furniture Companies Inc. A;HVT-A;Consumer Discretionary;Specialty Retail;10;366;16.67;4.56;0.1900;4;0.76
385;Hawthorn Bancshares Inc.;HWBK;Financials;Banks;8;575;21.74;2.21;0.1200;4;0.48
386;Hawkins Inc.;HWKN;Materials;Chemicals;16;249;35.75;2.60;0.2325;4;0.93
387;Hexcel Corporation;HXL;Industrials;Aerospace & Defense;5;839;64.63;1.05;0.1700;4;0.68
388;Hyster-Yale Materials Handling Inc.;HY;Industrials;Machinery;8;570;48.14;2.64;0.3175;4;1.27
389;Independent Bank Corp. MI;IBCP;Financials;Banks;7;708;19.57;4.09;0.2000;4;0.80
390;IBERIABANK Corporation;IBKC;Financials;Banks;5;867;60.19;3.12;0.4700;4;1.88
391;International Business Machines;IBM;Information Technology;IT Services;24;142;130.15;4.98;1.6200;4;6.48
392;International Bancshares Corp.;IBOC;Financials;Banks;10;372;34.10;3.23;0.5500;2;1.10
393;Independent Bank Group Inc.;IBTX;Financials;Banks;6;745;46.29;2.16;0.2500;4;1.00
394;Intercontinental Exchange Inc.;ICE;Financials;Capital Markets;8;646;89.22;1.34;0.3000;4;1.20
395;Idacorp Inc.;IDA;Utilities;Electric Utilities;8;600;96.64;2.77;0.6700;4;2.68
396;IDEX Corp.;IEX;Industrials;Machinery;10;351;148.00;1.35;0.5000;4;2.00
397;International Flavors & Fragrances;IFF;Materials;Chemicals;17;212;119.78;2.50;0.7500;4;3.00
398;Independence Holding Company;IHC;Financials;Insurance;6;760;37.11;1.08;0.2;2;0.40
399;Independent Bancorp MA;INDB;Financials;Banks;9;461;67.53;2.61;0.4400;4;1.76
400;Ingredion Inc.;INGR;Consumer Staples;Food Products;9;509;83.30;3.03;0.6300;4;2.52
401;Intel Corp.;INTC;Information Technology;Semiconductors & Semiconductor Equipment;6;805;55.52;2.38;0.3300;4;1.32
402;Intuit Inc.;INTU;Information Technology;Software;9;507;265.85;0.80;0.5300;4;2.12
403;Innospec Inc.;IOSP;Materials;Chemicals;6;782;86.54;1.20;0.52;2;1.04
404;International Paper Co.;IP;Materials;Containers & Packaging;10;383;36.96;5.55;0.5125;4;2.05
405;Inter Parfums Inc.;IPAR;Consumer Staples;Personal Products;11;316;60.06;2.20;0.3300;4;1.32
406;Interpublic Group of Companies Inc.;IPG;Communication Services;Media;8;635;21.36;4.78;0.2550;4;1.02
407;Ingersoll-Rand plc;IR;Industrials;Machinery;8;556;129.04;1.64;0.5300;4;2.12
408;Iron Mountain Inc.;IRM;Real Estate;Equity Real Estate Investment Trusts (REITs);10;388;30.41;8.14;0.6185;4;2.47
409;Isabella Bank Corp.;ISBA;Financials;Banks;15;271;23.90;4.52;0.2700;4;1.08
410;Investors Bancorp;ISBC;Financials;Banks;9;535;10.54;4.55;0.1200;4;0.48
411;Investar Holding Corp.;ISTR;Financials;Banks;6;778;21.36;1.12;0.0600;4;0.24
412;ITT Corp.;ITT;Industrials;Machinery;8;648;60.15;1.12;0.1690;4;0.68
413;Illinois Tool Works;ITW;Industrials;Machinery;45;52;167.78;2.55;1.0700;4;4.28
414;Invesco Limited;IVZ;Financials;Capital Markets;10;352;14.40;8.61;0.3100;4;1.24
415;JB Hunt Transport Services Inc.;JBHT;Industrials;Road & Rail;17;222;96.44;1.12;0.2700;4;1.08
416;J&J Snack Foods Corp.;JJSF;Consumer Staples;Food Products;16;245;160.82;1.43;0.5750;4;2.30
417;Jack Henry & Associates;JKHY;Information Technology;IT Services;30;94;151.74;1.13;0.4300;4;1.72
418;Jones Lang Lasalle;JLL;Real Estate;Real Estate Management & Development;9;477;147.77;0.58;0.4300;2;0.86
419;Johnson & Johnson;JNJ;Health Care;Pharmaceuticals;57;11;134.48;2.83;0.9500;4;3.80
420;Johnson Outdoors Inc.;JOUT;Consumer Discretionary;Leisure Products;7;687;62.41;1.09;0.1700;4;0.68
421;JPMorgan Chase & Co.;JPM;Financials;Banks;9;510;116.11;3.10;0.9000;4;3.60
422;John Wiley & Sons Inc.;JW-A;Communication Services;Media;26;122;37.19;3.66;0.3400;4;1.36
423;Kellogg Company;K;Consumer Staples;Food Products;16;240;60.47;3.77;0.5700;4;2.28
424;Kadant Inc.;KAI;Industrials;Machinery;7;664;90.82;1.01;0.2300;4;0.92
425;Kaiser Aluminum Corp.;KALU;Materials;Metals & Mining;9;530;94.55;2.83;0.6700;4;2.68
426;Kimball International Inc.;KBAL;Industrials;Commercial Services & Supplies;5;844;16.18;2.22;0.0900;4;0.36
427;KeyCorp;KEY;Financials;Banks;9;499;16.35;4.53;0.1850;4;0.74
428;KLA-Tencor Corp.;KLAC;Information Technology;Semiconductors & Semiconductor Equipment;10;378;153.71;2.21;0.8500;4;3.40
429;Kimberly-Clark Corp.;KMB;Consumer Staples;Household Products;48;40;131.19;3.26;1.0700;4;4.28
430;Kinsale Capital Group. Inc.;KNSL;Financials;Insurance;5;865;121.47;0.30;0.0900;4;0.36
431;Coca-Cola Company;KO;Consumer Staples;Beverages;58;10;53.49;3.07;0.4100;4;1.64
432;Kroger Company;KR;Consumer Staples;Food & Staples Retailing;14;278;28.13;2.28;0.1600;4;0.64
433;Kearny Financial Corp.;KRNY;Financials;Thrifts & Mortgage Finance;6;810;10.91;2.93;0.0800;4;0.32
434;Kohl's Corp.;KSS;Consumer Discretionary;Multiline Retail;9;460;39.15;6.85;0.6700;4;2.68
435;Kennedy-Wilson Holdings Inc.;KW;Real Estate;Real Estate Management & Development;10;389;20.21;4.35;0.2200;4;0.88
436;Quaker Chemical Corp.;KWR;Materials;Chemicals;12;300;157.57;0.98;0.3850;4;1.54
437;Lithia Motors Inc.;LAD;Consumer Discretionary;Specialty Retail;10;350;119.16;1.01;0.3000;4;1.20
438;Ladder Capital Corp;LADR;Financials;Mortgage Real Estate Investment Trusts (REITs);5;825;15.25;8.92;0.3400;4;1.36
439;Lamar Advertising Co.;LAMR;Real Estate;Equity Real Estate Investment Trusts (REITs);6;748;83.74;4.59;0.9600;4;3.84
440;Lancaster Colony Corp.;LANC;Consumer Staples;Food Products;57;13;144.45;1.94;0.7000;4;2.80
441;Gladstone Land Corp.;LAND;Real Estate;Equity Real Estate Investment Trusts (REITs);6;814;13.43;3.99;0.0447;12;0.54
442;Landmark Bancorp Inc.;LARK;Financials;Banks;17;203;22.80;3.51;0.2000;4;0.80
443;Lazard Limited;LAZ;Financials;Capital Markets;12;297;35.82;5.25;0.4700;4;1.88
444;Lakeland Bancorp Inc.;LBAI;Financials;Banks;9;470;14.40;3.47;0.1250;4;0.50
445;Lear Corp.;LEA;Consumer Discretionary;Auto Components;10;413;111.20;2.77;0.7700;4;3.08
446;Lincoln Electric Holdings;LECO;Industrials;Machinery;25;138;81.89;2.39;0.4900;4;1.96
447;Leggett & Platt Inc.;LEG;Consumer Discretionary;Household Durables;48;35;39.66;4.03;0.4000;4;1.60
448;Littelfuse Inc.;LFUS;Information Technology;Electronic Equipment. Instruments & Components;10;363;159.68;1.20;0.4800;4;1.92
449;L3Harris Technologies Inc;LHX;Industrials;Aerospace & Defense;18;187;197.73;1.52;0.7500;4;3.00
450;Lennox International Inc.;LII;Industrials;Building Products;10;359;228.13;1.35;0.7700;4;3.08
451;Linde Plc;LIN;Materials;Chemicals;27;115;191.01;2.02;0.9630;4;3.85
452;Lakeland Financial Corp.;LKFN;Financials;Banks;8;561;40.87;2.94;0.3000;4;1.20
453;Eli Lilly & Company;LLY;Health Care;Pharmaceuticals;6;807;126.13;2.35;0.7400;4;2.96
454;Legg Mason Inc.;LM;Financials;Capital Markets;9;490;49.82;3.21;0.4000;4;1.60
455;LeMaitre Vascular Inc.;LMAT;Health Care;Health Care Equipment & Supplies;10;414;28.50;1.33;0.0950;4;0.38
456;Limoneira Company;LMNR;Consumer Staples;Food Products;11;309;16.70;1.80;0.0750;4;0.30
457;Lockheed Martin;LMT;Industrials;Aerospace & Defense;17;216;369.87;2.60;2.4000;4;9.60
458;Lincoln National Corp.;LNC;Financials;Insurance;10;400;45.39;3.53;0.4000;4;1.60
459;Lindsay Corp.;LNN;Industrials;Machinery;17;202;99.03;1.25;0.3100;4;1.24
460;Alliant Energy Corp.;LNT;Utilities;Electric Utilities;17;221;52.12;2.92;0.3800;4;1.52
461;Logitech International;LOGI;Information Technology;Technology Hardware. Storage & Peripherals;6;773;38.96;1.88;0.7322;1;0.73
462;Logansport Financial Corp.;LOGN;Financials;Banks;7;652;40.00;3.50;0.3500;4;1.40
463;Lowe's Companies;LOW;Consumer Discretionary;Specialty Retail;57;12;106.57;2.06;0.5500;4;2.20
464;Lam Research Corp.;LRCX;Information Technology;Semiconductors & Semiconductor Equipment;6;777;293.43;1.57;1.1500;4;4.60
465;Landstar System Inc.;LSTR;Industrials;Road & Rail;15;261;100.97;0.73;0.1850;4;0.74
466;Southwest Airlines Co.;LUV;Industrials;Airlines;8;573;46.19;1.56;0.1800;4;0.72
467;Las Vegas Sands Corp.;LVS;Consumer Discretionary;Hotels. Restaurants & Leisure;9;541;58.31;5.42;0.7900;4;3.16
468;LyondellBasell Industries NV;LYB;Materials;Chemicals;9;480;71.46;5.88;1.0500;4;4.20
469;Lyons Bancorp Inc.;LYBC;Financials;Banks;20;169;36.53;3.39;0.3100;4;1.24
470;La-Z-Boy Inc.;LZB;Consumer Discretionary;Household Durables;8;604;28.65;1.95;0.1400;4;0.56
471;MasterCard Inc.;MA;Information Technology;IT Services;9;528;290.25;0.55;0.4000;4;1.60
472;Mid-America Apartment Communities Inc.;MAA;Real Estate;Equity Real Estate Investment Trusts (REITs);10;397;129.26;3.09;1.0000;4;4.00
473;Macerich Company;MAC;Real Estate;Equity Real Estate Investment Trusts (REITs);10;343;20.42;14.69;0.7500;4;3.00
474;Main Street Capital Corp.;MAIN;Financials;Capital Markets;9;488;36.93;6.66;0.2050;12;2.46
475;ManpowerGroup Inc.;MAN;Industrials;Professional Services;9;478;75.94;2.87;1.0900;2;2.18
476;Marriott International Inc.;MAR;Consumer Discretionary;Hotels. Restaurants & Leisure;10;357;124.00;1.55;0.4800;4;1.92
477;Masco Corp;MAS;Industrials;Building Products;6;779;41.32;1.31;0.1350;4;0.54
478;Matthews International;MATW;Industrials;Commercial Services & Supplies;25;137;29.56;2.84;0.2100;4;0.84
479;Matson Inc.;MATX;Industrials;Marine;8;583;33.21;2.65;0.22;4;0.88
480;Mercantile Bank Corp.;MBWM;Financials;Banks;9;538;28.69;3.90;0.2800;4;1.12
481;Moelis & Company;MC;Financials;Capital Markets;7;726;31.96;6.38;0.5100;4;2.04
482;Macatawa Bank Corp.;MCBC;Financials;Banks;7;714;9.64;3.32;0.0800;4;0.32
483;McDonald's Corp.;MCD;Consumer Discretionary;Hotels. Restaurants & Leisure;44;58;194.17;2.58;1.2500;4;5.00
484;Microchip Technology Inc.;MCHP;Information Technology;Semiconductors & Semiconductor Equipment;19;178;90.71;1.62;0.3670;4;1.47
485;McKesson Corp.;MCK;Health Care;Health Care Providers & Services;12;301;139.86;1.17;0.4100;4;1.64
486;Moody's Corp.;MCO;Financials;Capital Markets;11;331;240.03;0.93;0.5600;4;2.24
487;Marcus Corp.;MCS;Communication Services;Entertainment;7;723;26.72;2.54;0.1700;4;0.68
488;Mercury General Corp.;MCY;Financials;Insurance;33;86;43.31;5.82;0.6300;4;2.52
489;Mondelez International Inc.;MDLZ;Consumer Staples;Food Products;8;590;52.8;2.16;0.285;4;1.14
490;Meredith Corp.;MDP;Communication Services;Media;27;113;26.35;9.03;0.5950;4;2.38
491;Medtronic plc;MDT;Health Care;Health Care Equipment & Supplies;42;62;100.67;2.15;0.5400;4;2.16
492;MDU Resources;MDU;Utilities;Multi-Utilities;28;100;27.73;2.99;0.2075;4;0.83
493;Medifast. Inc.;MED;Consumer Staples;Personal Products;5;858;83.11;5.44;1.1300;4;4.52
494;Methanex Corp.;MEOH;Materials;Chemicals;9;483;28.85;4.99;0.3600;4;1.44
495;MetLife Inc.;MET;Financials;Insurance;7;669;42.72;4.12;0.4400;4;1.76
496;Manulife Financial Corporation;MFC;Financials;Insurance;7;725;16.84;6.65;0.28;4;1.12
497;Mackinac Financial Corp.;MFNC;Financials;Banks;7;684;13.99;4.00;0.1400;4;0.56
498;MutualFirst Financial Inc.;MFSF;Financials;Banks;6;741;33.50;2.39;0.2000;4;0.80
499;Magna International Inc.;MGA;Consumer Discretionary;Auto Components;11;332;45.82;3.49;0.4000;4;1.60
500;MGE Energy Inc.;MGEE;Utilities;Electric Utilities;44;57;71.34;1.98;0.3525;4;1.41
501;McGrath Rentcorp;MGRC;Industrials;Commercial Services & Supplies;28;104;69.45;2.42;0.4200;4;1.68
502;Mobile Mini Inc.;MINI;Industrials;Commercial Services & Supplies;7;720;38.99;3.11;0.3030;4;1.21
503;McCormick & Co.;MKC;Consumer Staples;Food Products;33;83;146.19;1.70;0.6200;4;2.48
504;MKS Instruments Inc.;MKSI;Information Technology;Semiconductors & Semiconductor Equipment;9;437;100.19;0.80;0.2000;4;0.80
505;MarketAxess Holdings Inc.;MKTX;Financials;Capital Markets;12;305;324.33;0.74;0.6000;4;2.40
506;Malaga Financial Corp.;MLGF;Financials;Banks;9;444;23.16;4.32;0.2500;4;1.00
507;Herman Miller Inc.;MLHR;Industrials;Commercial Services & Supplies;8;593;34.24;2.45;0.2100;4;0.84
